id	tweet	label
1185535645260963840	I’m not a British citizen but a Londoner at heart after spending 12 wonderful years of my life there. I am painfully moved by the developments triggered by the Referendum. I wished I cld be with these people on the streets today, demanding a #FinalSay on #Brexit. I wish us luck. https://t.co/DgkXSjDBlz	positive
1185548735541104640	"#PeoplesVoteMarch #VoteDownTheDeal 
Spoil Cumming's plans. https://t.co/54qVLFDJAL"	negative
1185548903552344065	Careful to all on the  #PeoplesVoteMarch. Representatives of Boris Johnson’s Britain are out in force. Parliament Square crowd peppered with black shirt fascists spouting bile about Churchill being on the wrong side. Police not isolating them. #togetherforafinalsay #peoplesvote https://t.co/zKzoLZpB6Z	negative
1185474455981772806	Sorry I can’t be there today! Will be absolutely there in spirit! Walk proud &amp; tall &amp; have a great day everyone. Thank you fellow #Remainers ❤️🇪🇺❤️🇪🇺🎵🎶🇪🇺❤️  #PeoplesVoteMarch	positive
1185527986478551041	Stopped for a sneaky pint of nitro engine at the Smith &amp; Whistle #PeoplesVote #PeoplesVoteMarch https://t.co/hhjpjYjNJX	neutral
1185473489668661248	RT @Jon_Rowley: I have signed the open letter demanding a #PeoplesVote on Brexit - add your name to it here: https://t.co/EHY1UfyLFJ ✍️	neutral
1185484069578117120	After a conciliatory speech by @BorisJohnson, the rhetoric in his replies in the debate show that he’s not conciliatory at all. #Brexit	negative
1185501521347256320	"@BigGistops @BritainUK @Sheffield_UK In 2016 the #UK pop was 67 million
17 million voted #Leave
50 million did NOT vote for #Brexit

Most people didn't realise #Brexit would tear up ALL our trade deals, crash the #Pound, putting almost everyone out of work, with no fresh food from abroad
#ClosingDown #London"	negative
1185490336367480833	#PVRoadTrip this is my 4th trip to London on a coach with @Bridgend4Europe still asking for the people to have the #FinalSayForAll #FinalSay Thank you everyone who is standing for peace and cooperation with our European neighbours. https://t.co/65xqrFcUz3	positive
1185477982590251008	This. #peoplesvote #PeoplesVoteMarch #PVRoadTrip https://t.co/yOgTcO1vHV	neutral
1185528789822005248	Why Stop Brexit to try to hold Six counties in Ireland which will be out of UK within 5 to 10 years? #Brexit #BrexitCrisis #BrexitDealDone #BrexitDeal https://t.co/NHjfkpX6Bs https://t.co/LLNXPWAXf7	neutral
1185483506308321287	"How can any @UKLabour #MP support #Johnson?
He cannot be trusted, says @PeterStefanovi2 

#LevelPlayingField just an empty promise
Huge risk of #NoDeal #Brexit !

@CarolineFlintMP
@KateHoeyMP
@SKinnock https://t.co/IoIOKYqsDA"	negative
1185510336927010817	With #ParliamentVsThePeople one man is at least trying his level best to battle every scurrilous shyster who seeks to deny democracy and that’s @BorisJohnson If #Brexit is once again defeated today then a #GeneralElectionNow must follow which @BorisJohnson will win #GoBoris https://t.co/9aS98Wp750	negative
1185549895526244355	"Watching the #brexit debate. Pick a party or politician or both. I couldn't stop thinking about Sideshow Bob's dabble into politics ... Flip flop
https://t.co/l9XAIAHdJD"	neutral
1185553949656518657	Woah the results from the vote to delay Brexit were sooo close #BrexitVote	neutral
