id	tweet	label
477200304224485376	Line of cocaine!! #soccer #WorldCup	negative
477239332718120960	Get Your #WorldCup2014 Started With Some Incredible Content From Brands http://t.co/p1xQody9Ti	neutral
477537392799121408	Beautifully done RVP! World-class! #NED #worldcup #ESP	positive
479717246361952257	#england all over the fucking place WAKE UP lads!! Push that ball forwards joe hart is not the target FFs #WorldCup	negative
477178962108760064	OMG just get to the KO no need for all this Dove nonsense Typical FIFA Clowns lol #WorldCup #Brazil2014	negative
477181027929317376	This Brazil team is no match to Spain, Uruguay, Argentina...or even Germany. #Brazil2014 #WorldCup	negative
478310115645591552	Even in vector form, Cristiano Ronaldo is the best looking player. #worldcup #design http://t.co/wEV3cAzKop	positive
477180454580125696	Checking out the first mins of this opening Brazil game. If not the US it would be kinda cool to see the hosting country win. #WorldCup2014	positive
478262210934743040	And Benzema buries it! What a stupid play by the Honduras player to cause the penalty kick. #WorldCup ⚽️	negative
480028793218678784	In!!! Robbed of a penalty, only to overcome! #WorldCup	negative
479030468856537089	THIS is ANOTHER dull game of football. I think we were spoilt in the beginning. #WorldCup	negative
479500434592514048	#Russian Goalie Akinfeyev Apologizes for 'Childish' Error During #WorldCup http://t.co/EDXM3J2FMK  #news	neutral
477009487250083840	Has your women's team been struck down with #WorldCup fever? Sign up to our new 7-a-side Summer League in Woking http://t.co/4PDPXiSrUz	neutral
477181616159457281	That olic header tho if only it had entered #WorldCup2014	neutral
477083014707818496	Wish i could take a month off of work to catch every world cup game #WorldCup2014 #finallyhere #ForcaPortugal	positive
479033117307830272	That was 45 minutes of torture,! #WorldCup	negative
480047017582792706	#WorldCup2014 so damn unpredictable. Me likey	positive
480433194945105921	"""@FIFAWorldCup  @ASAMOAH_GYAN3 is playing in his 10th #worldcup game, a #GHA record #GERGHA - http://t.co/U58HLgoCXy http://t.co/kf94PmgYjq"""	neutral
476400121803198464	@chris_kammy wasted away again in margaritaville #WorldCup2014	negative
476096394173095936	Check out our #BOW with housemade Shepards pie and gravy. It's an English burger in time for #worldcup2014	positive
479962557693034496	Equally, if they don't make it through, they'll be doing worse than the team from Mike Bassett: England Manager. Just saying... #WorldCup	negative
481500323337748480	"@luis16suarez  You are a ""man"" of schit"	negative
478972946636341248	Time to watch some #WorldCup2014 BrazilvsMexico....im seeing an upset tonight with #Mexico winners	neutral
477137805593018368	S.African women must not go to #Brazil for the #WorldCup because the #Brazilian women will definitely want their hair back.	neutral
477033000879001600	Spain or Argentina for me #WorldCup2014	neutral
477157752306171904	I feel so ashamed and embarrassed right now. Oh Brazil ... #WorldCup2014	negative
477934942190837760	Lively start by England! #WorldCup2014	positive
477443773451231233	Loving the photos of our performers out in force in Rio De Janeiro!!! All in aid of the #WorldCup #Brazil #eventprofs http://t.co/eFld9tnBGP	positive
477179666667929600	Completely ridiculous line up for Brazil #WorldCup2014	negative
477215336794968064	BRAZIL!!!!!!!!!!! ♥♥♥♥♥♥ #BrazilvsCroatia #WorldCup2014	positive
477946079988973568	@PJags06 I love you.	positive
478569205366018048	#LouisVuitton plays a hand in the #WorldCup #Designing this #stylish #trophy case for the #winners... http://t.co/2jLZRPotFk	neutral
478078672596123648	So #ENG never failed to disappoint last night. Every year theirs a escape goat and it seems Rooney is this year's one! #WorldCup	negative
477215102056534017	Good match #WorldCup2014 #BrazilvsCroatia	positive
477181303612133376	SHRTURL changes websites for demos &amp; pranks (perfect for #WorldCup2014): http://t.co/kYgZihjseO	neutral
481174175407935488	Jersey number 10 at work. #worldcup2014 #worldcup.	positive
480860137024790528	@cristiano you just being beaten by a country that play egg as football. shame on you	negative
477180629482606592	lets gooooo ⚽️ #WorldCup http://t.co/jMIwAIFpuP	neutral
477446779492126720	"3 great matches tonight! 

Mexico vs Cameroon
Spain vs Netherlands
Chile vs Australia 

#WorldCup2014"	positive
477446516508852224	Analyze Soccer with SAP Lumira and Show your Team Spirit! @SAPAnalytics  #SAP #worldcup http://t.co/GvpOGPF3HA #scn via @SAPCommNet	neutral
477535123513282560	No wonder the Brazilians wanted Diego Costa so much.... he's a much better actor than Fred!  #Brazil2014 #spainvsnetherlands	negative
476357690717794304	#WorldCup2014  #FIFA  US National Team Not Among Elite. Yet! by More_Sports_Now via #soundcloud https://t.co/rSHhRIuHiu	neutral
477019799289991168	BRAZIL for champions  #worldcup	positive
480436821642326016	Another slow day at work. It's fine I'll kick my feet up and watch some #WorldCup2014 and make some easy money	neutral
477493146020880384	"Good Luck Netherlands
#WorldCup #Brazil2014 http://t.co/InrwTg7aB5"	neutral
477181839850094592	#WedentWorldCup #GOAL1 O'drama F*Away Or #5BRICS?! https://t.co/aImHctIpct Hi Guruji, WatchOut WatchOut #WorldCup2014 http://t.co/vfCHHVKN5X	neutral
477182063402287106	Well that wasn't in the script... Croatia 1 up! #WorldCup2014	positive
476406401628389376	The official #WorldCup channel on twitter https://t.co/fmC8QtqNXn	neutral
477181697910247424	Wow. Wow. Wow. #BRAvsCRO #WorldCup2014	positive
481172903539798018	I chose Brazil in the sweepstake. So they'll lose obviously. #WorldCup2014	negative
